#,Date_Time,DO_mgL,Temp_C,Site_Code,Site_Name
1389,2021-06-22T11:00:00Z,7.29,16.4,AC,HMSP Slough
1390,2021-06-22T11:15:00Z,8.46,11.58,AC,HMSP Slough
1391,2021-06-22T11:30:00Z,8.51,11.12,AC,HMSP Slough
1392,2021-06-22T11:45:00Z,8.59,11.14,AC,HMSP Slough
1393,2021-06-22T12:00:00Z,8.64,11.16,AC,HMSP Slough
1394,2021-06-22T12:15:00Z,8.57,11.16,AC,HMSP Slough
1395,2021-06-22T12:30:00Z,8.48,11.16,AC,HMSP Slough
1396,2021-06-22T12:45:00Z,8.42,11.16,AC,HMSP Slough
1397,2021-06-22T13:00:00Z,8.36,11.18,AC,HMSP Slough
1398,2021-06-22T13:15:00Z,8.27,11.2,AC,HMSP Slough
1399,2021-06-22T13:30:00Z,8.21,11.24,AC,HMSP Slough
1400,2021-06-22T13:45:00Z,8.17,11.28,AC,HMSP Slough
1401,2021-06-22T14:00:00Z,8.12,11.38,AC,HMSP Slough
1402,2021-06-22T14:15:00Z,8.09,11.46,AC,HMSP Slough
1403,2021-06-22T14:30:00Z,7.92,11.6,AC,HMSP Slough
1404,2021-06-22T14:45:00Z,7.79,11.76,AC,HMSP Slough
1405,2021-06-22T15:00:00Z,7.75,11.88,AC,HMSP Slough
1406,2021-06-22T15:15:00Z,7.82,11.96,AC,HMSP Slough
1407,2021-06-22T15:30:00Z,7.82,12.06,AC,HMSP Slough
1408,2021-06-22T15:45:00Z,8.34,12.14,AC,HMSP Slough
1409,2021-06-22T16:00:00Z,8.19,12.24,AC,HMSP Slough
1410,2021-06-22T16:15:00Z,8.1,12.36,AC,HMSP Slough
1411,2021-06-22T16:30:00Z,8.08,12.5,AC,HMSP Slough
1412,2021-06-22T16:45:00Z,8.02,12.64,AC,HMSP Slough
1413,2021-06-22T17:00:00Z,8.25,12.78,AC,HMSP Slough
1414,2021-06-22T17:15:00Z,8.13,12.92,AC,HMSP Slough
1415,2021-06-22T17:30:00Z,8.05,13.04,AC,HMSP Slough
1416,2021-06-22T17:45:00Z,7.98,13.14,AC,HMSP Slough
1417,2021-06-22T18:00:00Z,7.97,13.22,AC,HMSP Slough
1418,2021-06-22T18:15:00Z,7.92,13.28,AC,HMSP Slough
1419,2021-06-22T18:30:00Z,7.87,13.32,AC,HMSP Slough
1420,2021-06-22T18:45:00Z,7.95,13.34,AC,HMSP Slough
1421,2021-06-22T19:00:00Z,8.13,13.32,AC,HMSP Slough
1422,2021-06-22T19:15:00Z,8.32,13.26,AC,HMSP Slough
1423,2021-06-22T19:30:00Z,8.36,13.16,AC,HMSP Slough
1424,2021-06-22T19:45:00Z,8.35,13.06,AC,HMSP Slough
1425,2021-06-22T20:00:00Z,8.31,12.92,AC,HMSP Slough
1426,2021-06-22T20:15:00Z,8.33,12.82,AC,HMSP Slough
1427,2021-06-22T20:30:00Z,8.32,12.7,AC,HMSP Slough
1428,2021-06-22T20:45:00Z,8.27,12.6,AC,HMSP Slough
1429,2021-06-22T21:00:00Z,8.31,12.52,AC,HMSP Slough
1430,2021-06-22T21:15:00Z,8.28,12.42,AC,HMSP Slough
1431,2021-06-22T21:30:00Z,8.3,12.36,AC,HMSP Slough
1432,2021-06-22T21:45:00Z,8.35,12.28,AC,HMSP Slough
1433,2021-06-22T22:00:00Z,8.35,12.2,AC,HMSP Slough
