type	tident	ident	Latitude	Longitude	y_proj	x_proj	comment	new_trk	new_seg	display	color	altitude	depth	temp	time	model	filename	ltime	desc	link
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133327171	-121.7101225443	48.5133327171	-121.7101225443		False	True			52.86			2021/07/14 17:38:11+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:38:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133183841	-121.7101015896	48.5133183841	-121.7101015896		False	False			52.93			2021/07/14 17:38:26+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:38:26		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133219045	-121.7100904416	48.5133219045	-121.7100904416		False	False			53.86			2021/07/14 17:38:47+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:38:47		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133234132	-121.7100515496	48.5133234132	-121.7100515496		False	False			54.25			2021/07/14 17:39:20+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:39:20		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133157019	-121.7100705765	48.5133157019	-121.7100705765		False	False			55.13			2021/07/14 17:39:38+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:39:38		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133113433	-121.7100654636	48.5133113433	-121.7100654636		False	False			54.47			2021/07/14 17:39:45+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:39:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133227427	-121.7100788746	48.5133227427	-121.7100788746		False	False			53.9			2021/07/14 17:39:58+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:39:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133261792	-121.7100856639	48.5133261792	-121.7100856639		False	False			52.57			2021/07/14 17:40:11+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:40:11		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133265145	-121.7100949679	48.5133265145	-121.7100949679		False	False			51.05			2021/07/14 17:40:29+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:40:29		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133275203	-121.7101075407	48.5133275203	-121.7101075407		False	False			49.74			2021/07/14 17:40:55+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:40:55		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133290291	-121.7100976501	48.5133290291	-121.7100976501		False	False			49			2021/07/14 17:41:24+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:41:24		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133273527	-121.7101039365	48.5133273527	-121.7101039365		False	False			48.79			2021/07/14 17:41:51+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:41:51		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133228265	-121.7101092171	48.5133228265	-121.7101092171		False	False			49.01			2021/07/14 17:42:07+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:42:07		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133228265	-121.7101276573	48.5133228265	-121.7101276573		False	False			48.45			2021/07/14 17:42:21+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:42:21		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133328009	-121.7101132404	48.5133328009	-121.7101132404		False	False			49.05			2021/07/14 17:42:45+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:42:45		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133106727	-121.7101673875	48.5133106727	-121.7101673875		False	False			49.2			2021/07/14 17:42:58+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:42:58		
TRACK	Current Track: 08 JUN 2021 10:52	T1	48.5133145284	-121.710170405	48.5133145284	-121.710170405		False	False			49.02			2021/07/14 17:43:08+00	garmin GPSMAP 64x Software Version 230		2021/07/14 10:43:08		
